vote_choice,gender,race,age,ideology,party_id,pol_interest,church_attendance,discuss_politics,race_text,gender_text,age_text,ideology_text,party_id_text,church_attendance_text,pol_interest_text,discuss_politics_text,user_content,assistant_content
1,1,1,52,4,5,2,2,1,white,man,52,moderate,an independent Republican,do not attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a man. I am 52 years old. Ideologically, I am moderate. Politically, I am an independent Republican. I do not attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
1,1,1,59,3,1,2,2,1,white,man,59,slightly liberal,a strong Democrat,do not attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a man. I am 59 years old. Ideologically, I am slightly liberal. Politically, I am a strong Democrat. I do not attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
2,2,1,66,5,5,1,1,1,white,woman,66,slightly conservative,an independent Republican,attend church,very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 66 years old. Ideologically, I am slightly conservative. Politically, I am an independent Republican. I attend church. I am very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
2,2,1,33,6,7,2,1,1,white,woman,33,conservative,a strong Republican,attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 33 years old. Ideologically, I am conservative. Politically, I am a strong Republican. I attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
1,1,1,27,2,2,1,2,1,white,man,27,liberal,not a very strong Democrat,do not attend church,very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a man. I am 27 years old. Ideologically, I am liberal. Politically, I am not a very strong Democrat. I do not attend church. I am very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
1,1,3,63,5,5,2,2,1,hispanic,man,63,slightly conservative,an independent Republican,do not attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am hispanic. I am a man. I am 63 years old. Ideologically, I am slightly conservative. Politically, I am an independent Republican. I do not attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
1,1,1,48,1,1,2,2,1,white,man,48,extremely liberal,a strong Democrat,do not attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a man. I am 48 years old. Ideologically, I am extremely liberal. Politically, I am a strong Democrat. I do not attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
2,2,1,66,6,5,3,1,1,white,woman,66,conservative,an independent Republican,attend church,not very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 66 years old. Ideologically, I am conservative. Politically, I am an independent Republican. I attend church. I am not very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
1,2,3,71,2,1,2,2,1,hispanic,woman,71,liberal,a strong Democrat,do not attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am hispanic. I am a woman. I am 71 years old. Ideologically, I am liberal. Politically, I am a strong Democrat. I do not attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
2,2,1,67,7,7,2,2,1,white,woman,67,extremely conservative,a strong Republican,do not attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 67 years old. Ideologically, I am extremely conservative. Politically, I am a strong Republican. I do not attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
