vote_choice,gender,race,age,ideology,pol_interest,church_attendance,race_text,gender_text,age_text,ideology_text,church_attendance_text,pol_interest_text,user_content,assistant_content
1,1,1,54,4,1,1,white,man,54,moderate,attend church,very,"Racially, I am white. I am a man. I am 54 years old. Ideologically, I am moderate. I attend church. I am very interested in politics. ",Kamala Harris
2,1,1,73,6,1,1,white,man,73,conservative,attend church,very,"Racially, I am white. I am a man. I am 73 years old. Ideologically, I am conservative. I attend church. I am very interested in politics. ",Donald Trump
2,1,1,28,6,3,1,white,man,28,conservative,attend church,not very,"Racially, I am white. I am a man. I am 28 years old. Ideologically, I am conservative. I attend church. I am not very interested in politics. ",Donald Trump
1,2,2,80,4,2,1,black,woman,80,moderate,attend church,somewhat,"Racially, I am black. I am a woman. I am 80 years old. Ideologically, I am moderate. I attend church. I am somewhat interested in politics. ",Kamala Harris
1,2,1,54,1,2,2,white,woman,54,extremely liberal,do not attend church,somewhat,"Racially, I am white. I am a woman. I am 54 years old. Ideologically, I am extremely liberal. I do not attend church. I am somewhat interested in politics. ",Kamala Harris
2,1,1,65,5,1,2,white,man,65,slightly conservative,do not attend church,very,"Racially, I am white. I am a man. I am 65 years old. Ideologically, I am slightly conservative. I do not attend church. I am very interested in politics. ",Donald Trump
1,2,1,34,2,2,1,white,woman,34,liberal,attend church,somewhat,"Racially, I am white. I am a woman. I am 34 years old. Ideologically, I am liberal. I attend church. I am somewhat interested in politics. ",Kamala Harris
2,2,1,38,6,3,1,white,woman,38,conservative,attend church,not very,"Racially, I am white. I am a woman. I am 38 years old. Ideologically, I am conservative. I attend church. I am not very interested in politics. ",Donald Trump
2,2,1,44,6,2,2,white,woman,44,conservative,do not attend church,somewhat,"Racially, I am white. I am a woman. I am 44 years old. Ideologically, I am conservative. I do not attend church. I am somewhat interested in politics. ",Donald Trump
1,2,1,72,4,2,1,white,woman,72,moderate,attend church,somewhat,"Racially, I am white. I am a woman. I am 72 years old. Ideologically, I am moderate. I attend church. I am somewhat interested in politics. ",Kamala Harris
1,2,2,26,4,2,1,black,woman,26,moderate,attend church,somewhat,"Racially, I am black. I am a woman. I am 26 years old. Ideologically, I am moderate. I attend church. I am somewhat interested in politics. ",Kamala Harris
1,2,1,65,2,3,2,white,woman,65,liberal,do not attend church,not very,"Racially, I am white. I am a woman. I am 65 years old. Ideologically, I am liberal. I do not attend church. I am not very interested in politics. ",Kamala Harris
1,2,1,61,4,2,1,white,woman,61,moderate,attend church,somewhat,"Racially, I am white. I am a woman. I am 61 years old. Ideologically, I am moderate. I attend church. I am somewhat interested in politics. ",Kamala Harris
2,1,1,68,6,2,2,white,man,68,conservative,do not attend church,somewhat,"Racially, I am white. I am a man. I am 68 years old. Ideologically, I am conservative. I do not attend church. I am somewhat interested in politics. ",Donald Trump
2,2,1,80,5,2,1,white,woman,80,slightly conservative,attend church,somewhat,"Racially, I am white. I am a woman. I am 80 years old. Ideologically, I am slightly conservative. I attend church. I am somewhat interested in politics. ",Donald Trump
2,1,1,32,6,1,1,white,man,32,conservative,attend church,very,"Racially, I am white. I am a man. I am 32 years old. Ideologically, I am conservative. I attend church. I am very interested in politics. ",Donald Trump
1,2,1,74,2,1,2,white,woman,74,liberal,do not attend church,very,"Racially, I am white. I am a woman. I am 74 years old. Ideologically, I am liberal. I do not attend church. I am very interested in politics. ",Kamala Harris
1,1,1,66,4,1,1,white,man,66,moderate,attend church,very,"Racially, I am white. I am a man. I am 66 years old. Ideologically, I am moderate. I attend church. I am very interested in politics. ",Kamala Harris
1,1,1,52,3,2,2,white,man,52,slightly liberal,do not attend church,somewhat,"Racially, I am white. I am a man. I am 52 years old. Ideologically, I am slightly liberal. I do not attend church. I am somewhat interested in politics. ",Kamala Harris
1,2,2,80,2,2,2,black,woman,80,liberal,do not attend church,somewhat,"Racially, I am black. I am a woman. I am 80 years old. Ideologically, I am liberal. I do not attend church. I am somewhat interested in politics. ",Kamala Harris
1,1,1,50,2,2,1,white,man,50,liberal,attend church,somewhat,"Racially, I am white. I am a man. I am 50 years old. Ideologically, I am liberal. I attend church. I am somewhat interested in politics. ",Kamala Harris
2,2,1,73,4,4,2,white,woman,73,moderate,do not attend church,not at all,"Racially, I am white. I am a woman. I am 73 years old. Ideologically, I am moderate. I do not attend church. I am not at all interested in politics. ",Donald Trump
1,1,1,75,2,1,1,white,man,75,liberal,attend church,very,"Racially, I am white. I am a man. I am 75 years old. Ideologically, I am liberal. I attend church. I am very interested in politics. ",Kamala Harris
2,1,1,56,4,1,2,white,man,56,moderate,do not attend church,very,"Racially, I am white. I am a man. I am 56 years old. Ideologically, I am moderate. I do not attend church. I am very interested in politics. ",Donald Trump
2,2,1,62,5,2,1,white,woman,62,slightly conservative,attend church,somewhat,"Racially, I am white. I am a woman. I am 62 years old. Ideologically, I am slightly conservative. I attend church. I am somewhat interested in politics. ",Donald Trump
1,1,3,32,2,1,2,hispanic,man,32,liberal,do not attend church,very,"Racially, I am hispanic. I am a man. I am 32 years old. Ideologically, I am liberal. I do not attend church. I am very interested in politics. ",Kamala Harris
2,2,1,55,7,1,1,white,woman,55,extremely conservative,attend church,very,"Racially, I am white. I am a woman. I am 55 years old. Ideologically, I am extremely conservative. I attend church. I am very interested in politics. ",Donald Trump
1,2,1,54,3,2,1,white,woman,54,slightly liberal,attend church,somewhat,"Racially, I am white. I am a woman. I am 54 years old. Ideologically, I am slightly liberal. I attend church. I am somewhat interested in politics. ",Kamala Harris
1,2,1,44,1,1,2,white,woman,44,extremely liberal,do not attend church,very,"Racially, I am white. I am a woman. I am 44 years old. Ideologically, I am extremely liberal. I do not attend church. I am very interested in politics. ",Kamala Harris
1,2,1,28,5,2,2,white,woman,28,slightly conservative,do not attend church,somewhat,"Racially, I am white. I am a woman. I am 28 years old. Ideologically, I am slightly conservative. I do not attend church. I am somewhat interested in politics. ",Kamala Harris
1,1,1,51,4,3,2,white,man,51,moderate,do not attend church,not very,"Racially, I am white. I am a man. I am 51 years old. Ideologically, I am moderate. I do not attend church. I am not very interested in politics. ",Kamala Harris
2,2,1,37,4,4,1,white,woman,37,moderate,attend church,not at all,"Racially, I am white. I am a woman. I am 37 years old. Ideologically, I am moderate. I attend church. I am not at all interested in politics. ",Donald Trump
2,2,1,35,3,2,1,white,woman,35,slightly liberal,attend church,somewhat,"Racially, I am white. I am a woman. I am 35 years old. Ideologically, I am slightly liberal. I attend church. I am somewhat interested in politics. ",Donald Trump
2,1,1,64,6,2,1,white,man,64,conservative,attend church,somewhat,"Racially, I am white. I am a man. I am 64 years old. Ideologically, I am conservative. I attend church. I am somewhat interested in politics. ",Donald Trump
1,2,1,70,2,1,2,white,woman,70,liberal,do not attend church,very,"Racially, I am white. I am a woman. I am 70 years old. Ideologically, I am liberal. I do not attend church. I am very interested in politics. ",Kamala Harris
1,1,2,36,5,2,1,black,man,36,slightly conservative,attend church,somewhat,"Racially, I am black. I am a man. I am 36 years old. Ideologically, I am slightly conservative. I attend church. I am somewhat interested in politics. ",Kamala Harris
2,1,1,40,6,2,1,white,man,40,conservative,attend church,somewhat,"Racially, I am white. I am a man. I am 40 years old. Ideologically, I am conservative. I attend church. I am somewhat interested in politics. ",Donald Trump
2,1,1,62,6,1,1,white,man,62,conservative,attend church,very,"Racially, I am white. I am a man. I am 62 years old. Ideologically, I am conservative. I attend church. I am very interested in politics. ",Donald Trump
1,1,1,76,3,2,1,white,man,76,slightly liberal,attend church,somewhat,"Racially, I am white. I am a man. I am 76 years old. Ideologically, I am slightly liberal. I attend church. I am somewhat interested in politics. ",Kamala Harris
2,1,1,60,5,1,1,white,man,60,slightly conservative,attend church,very,"Racially, I am white. I am a man. I am 60 years old. Ideologically, I am slightly conservative. I attend church. I am very interested in politics. ",Donald Trump
2,2,1,34,5,3,2,white,woman,34,slightly conservative,do not attend church,not very,"Racially, I am white. I am a woman. I am 34 years old. Ideologically, I am slightly conservative. I do not attend church. I am not very interested in politics. ",Donald Trump
1,1,3,65,3,1,2,hispanic,man,65,slightly liberal,do not attend church,very,"Racially, I am hispanic. I am a man. I am 65 years old. Ideologically, I am slightly liberal. I do not attend church. I am very interested in politics. ",Kamala Harris
1,2,1,62,1,1,2,white,woman,62,extremely liberal,do not attend church,very,"Racially, I am white. I am a woman. I am 62 years old. Ideologically, I am extremely liberal. I do not attend church. I am very interested in politics. ",Kamala Harris
1,1,1,35,1,1,2,white,man,35,extremely liberal,do not attend church,very,"Racially, I am white. I am a man. I am 35 years old. Ideologically, I am extremely liberal. I do not attend church. I am very interested in politics. ",Kamala Harris
1,2,1,30,2,2,2,white,woman,30,liberal,do not attend church,somewhat,"Racially, I am white. I am a woman. I am 30 years old. Ideologically, I am liberal. I do not attend church. I am somewhat interested in politics. ",Kamala Harris
1,1,1,77,3,1,2,white,man,77,slightly liberal,do not attend church,very,"Racially, I am white. I am a man. I am 77 years old. Ideologically, I am slightly liberal. I do not attend church. I am very interested in politics. ",Kamala Harris
1,2,1,44,2,1,2,white,woman,44,liberal,do not attend church,very,"Racially, I am white. I am a woman. I am 44 years old. Ideologically, I am liberal. I do not attend church. I am very interested in politics. ",Kamala Harris
1,2,1,69,2,2,1,white,woman,69,liberal,attend church,somewhat,"Racially, I am white. I am a woman. I am 69 years old. Ideologically, I am liberal. I attend church. I am somewhat interested in politics. ",Kamala Harris
1,2,4,47,2,2,2,asian,woman,47,liberal,do not attend church,somewhat,"Racially, I am asian. I am a woman. I am 47 years old. Ideologically, I am liberal. I do not attend church. I am somewhat interested in politics. ",Kamala Harris
2,1,3,50,6,2,1,hispanic,man,50,conservative,attend church,somewhat,"Racially, I am hispanic. I am a man. I am 50 years old. Ideologically, I am conservative. I attend church. I am somewhat interested in politics. ",Donald Trump
1,1,1,72,5,2,1,white,man,72,slightly conservative,attend church,somewhat,"Racially, I am white. I am a man. I am 72 years old. Ideologically, I am slightly conservative. I attend church. I am somewhat interested in politics. ",Kamala Harris
1,2,1,41,2,2,2,white,woman,41,liberal,do not attend church,somewhat,"Racially, I am white. I am a woman. I am 41 years old. Ideologically, I am liberal. I do not attend church. I am somewhat interested in politics. ",Kamala Harris
2,1,1,67,6,2,1,white,man,67,conservative,attend church,somewhat,"Racially, I am white. I am a man. I am 67 years old. Ideologically, I am conservative. I attend church. I am somewhat interested in politics. ",Donald Trump
1,2,1,76,4,2,1,white,woman,76,moderate,attend church,somewhat,"Racially, I am white. I am a woman. I am 76 years old. Ideologically, I am moderate. I attend church. I am somewhat interested in politics. ",Kamala Harris
2,2,1,47,6,2,2,white,woman,47,conservative,do not attend church,somewhat,"Racially, I am white. I am a woman. I am 47 years old. Ideologically, I am conservative. I do not attend church. I am somewhat interested in politics. ",Donald Trump
1,2,1,51,2,4,2,white,woman,51,liberal,do not attend church,not at all,"Racially, I am white. I am a woman. I am 51 years old. Ideologically, I am liberal. I do not attend church. I am not at all interested in politics. ",Kamala Harris
1,2,1,71,2,2,2,white,woman,71,liberal,do not attend church,somewhat,"Racially, I am white. I am a woman. I am 71 years old. Ideologically, I am liberal. I do not attend church. I am somewhat interested in politics. ",Kamala Harris
1,1,1,56,4,2,1,white,man,56,moderate,attend church,somewhat,"Racially, I am white. I am a man. I am 56 years old. Ideologically, I am moderate. I attend church. I am somewhat interested in politics. ",Kamala Harris
1,1,1,42,3,2,2,white,man,42,slightly liberal,do not attend church,somewhat,"Racially, I am white. I am a man. I am 42 years old. Ideologically, I am slightly liberal. I do not attend church. I am somewhat interested in politics. ",Kamala Harris
1,1,1,76,4,1,1,white,man,76,moderate,attend church,very,"Racially, I am white. I am a man. I am 76 years old. Ideologically, I am moderate. I attend church. I am very interested in politics. ",Kamala Harris
1,2,2,49,5,2,1,black,woman,49,slightly conservative,attend church,somewhat,"Racially, I am black. I am a woman. I am 49 years old. Ideologically, I am slightly conservative. I attend church. I am somewhat interested in politics. ",Kamala Harris
1,1,2,64,3,1,2,black,man,64,slightly liberal,do not attend church,very,"Racially, I am black. I am a man. I am 64 years old. Ideologically, I am slightly liberal. I do not attend church. I am very interested in politics. ",Kamala Harris
1,1,2,80,2,1,1,black,man,80,liberal,attend church,very,"Racially, I am black. I am a man. I am 80 years old. Ideologically, I am liberal. I attend church. I am very interested in politics. ",Kamala Harris
2,2,1,65,6,1,1,white,woman,65,conservative,attend church,very,"Racially, I am white. I am a woman. I am 65 years old. Ideologically, I am conservative. I attend church. I am very interested in politics. ",Donald Trump
2,1,1,69,4,2,1,white,man,69,moderate,attend church,somewhat,"Racially, I am white. I am a man. I am 69 years old. Ideologically, I am moderate. I attend church. I am somewhat interested in politics. ",Donald Trump
1,2,1,37,1,2,2,white,woman,37,extremely liberal,do not attend church,somewhat,"Racially, I am white. I am a woman. I am 37 years old. Ideologically, I am extremely liberal. I do not attend church. I am somewhat interested in politics. ",Kamala Harris
2,1,1,62,7,2,1,white,man,62,extremely conservative,attend church,somewhat,"Racially, I am white. I am a man. I am 62 years old. Ideologically, I am extremely conservative. I attend church. I am somewhat interested in politics. ",Donald Trump
2,2,1,80,6,2,1,white,woman,80,conservative,attend church,somewhat,"Racially, I am white. I am a woman. I am 80 years old. Ideologically, I am conservative. I attend church. I am somewhat interested in politics. ",Donald Trump
1,1,1,72,2,2,2,white,man,72,liberal,do not attend church,somewhat,"Racially, I am white. I am a man. I am 72 years old. Ideologically, I am liberal. I do not attend church. I am somewhat interested in politics. ",Kamala Harris
2,1,1,67,4,2,2,white,man,67,moderate,do not attend church,somewhat,"Racially, I am white. I am a man. I am 67 years old. Ideologically, I am moderate. I do not attend church. I am somewhat interested in politics. ",Donald Trump
